Сол,Моҳ,Минтақа,Маҳсулот,Ҳаҷми замин (га),Ҳосилнокӣ (т/га),Истеҳсолот (т),Арзиш (сом/т),Воридот (т),Содирот (т),Истеъмолот (т),Худтаъминкуни (%),Ҳарорат (°C),Минтақаи иқлимӣ,Худтаъминкуни
2020,Январ,Хатлон,Гандум,0.0,0.0,0.0,11150.12,2322.3,0.0,7025.9,33.1,11.7,Водии,Не
2020,Феврал,Хатлон,Гандум,0.0,0.0,0.0,12912.67,2989.8,0.0,10385.9,28.8,16.7,Водии,Не
2020,Март,Хатлон,Гандум,0.0,0.0,0.0,10361.95,5475.4,0.0,13389.0,40.9,17.1,Водии,Не
2020,Апрел,Хатлон,Гандум,0.0,0.0,0.0,9841.28,4923.4,0.0,10996.2,44.8,22.4,Водии,Не
2020,Май,Хатлон,Гандум,0.0,0.0,0.0,8763.81,6597.4,0.0,13213.1,49.9,34.2,Водии,Не
2020,Июн,Хатлон,Гандум,41079.1,2.36,96079.1,5823.93,0.0,60490.4,18228.9,58.3,39.0,Водии,Не
2020,Июл,Хатлон,Гандум,41079.1,3.27,126656.7,5582.48,0.0,116097.5,13304.4,59.4,36.6,Водии,Бале
2020,Август,Хатлон,Гандум,0.0,0.0,0.0,12645.1,4411.7,0.0,13817.7,31.9,30.0,Водии,Не
2020,Сентябр,Хатлон,Гандум,0.0,0.0,0.0,12549.07,3785.5,0.0,11927.5,31.7,27.1,Водии,Не
2020,Октябр,Хатлон,Гандум,0.0,0.0,0.0,11783.11,3532.3,0.0,10138.6,34.8,27.4,Водии,Не
2020,Ноябр,Хатлон,Гандум,0.0,0.0,0.0,10137.0,3863.2,0.0,10472.4,36.9,20.5,Водии,Не
2020,Декабр,Хатлон,Гандум,0.0,0.0,0.0,9671.12,4027.1,0.0,12242.1,32.9,17.6,Водии,Не
2020,Январ,Хатлон,Картошка,0.0,0.0,0.0,10655.07,1521.7,0.0,3955.2,38.5,13.0,Водии,Не
2020,Феврал,Хатлон,Картошка,0.0,0.0,0.0,13790.46,1650.3,0.0,4783.8,34.5,13.0,Водии,Не
2020,Март,Хатлон,Картошка,0.0,0.0,0.0,12625.44,928.5,0.0,2917.0,31.8,16.8,Водии,Не
2020,Апрел,Хатлон,Картошка,0.0,0.0,0.0,11532.97,2159.3,0.0,5123.6,42.1,25.7,Водии,Не
2020,Май,Хатлон,Картошка,4690.0,20.41,81016.4,6225.58,0.0,39369.8,5394.1,62.1,28.7,Водии,Бале
2020,Июн,Хатлон,Картошка,4690.0,20.29,84292.0,6796.44,0.0,69617.4,6616.8,62.9,35.9,Водии,Бале
2020,Июл,Хатлон,Картошка,0.0,0.0,0.0,11565.08,2548.3,0.0,7178.1,35.5,33.4,Водии,Не
2020,Август,Хатлон,Картошка,0.0,0.0,0.0,13322.61,1606.0,0.0,4496.6,35.7,29.8,Водии,Не
2020,Сентябр,Хатлон,Картошка,4690.0,16.42,72011.4,7927.77,0.0,23420.8,5638.0,57.5,34.9,Водии,Не
2020,Октябр,Хатлон,Картошка,0.0,0.0,0.0,13626.35,1886.9,0.0,4951.9,38.1,22.9,Водии,Не
2020,Ноябр,Хатлон,Картошка,0.0,0.0,0.0,17208.49,1646.8,0.0,4753.7,34.6,14.5,Водии,Не
