Сол,Моҳ,Минтақа,Маҳсулот,Ҳаҷми замин (га),Ҳосилнокӣ (т/га),Истеҳсолот (т),Арзиш (сом/т),Воридот (т),Содирот (т),Истеъмолот (т),Худтаъминкуни (%),Ҳарорат (°C),Боришот (мм),Минтақаи иқлимӣ,Худтаъминкуни
2020,Январ,Хатлон,Гандум,0.0,0.0,0.0,0.0,4670.8,0.0,9881.0,47.3,11.2,37.5,Водии,Не
2020,Феврал,Хатлон,Гандум,0.0,0.0,0.0,0.0,3563.3,0.0,11385.9,31.3,11.6,42.8,Водии,Не
2020,Март,Хатлон,Гандум,0.0,0.0,0.0,0.0,3607.2,0.0,11594.2,31.1,18.2,70.8,Водии,Не
2020,Апрел,Хатлон,Гандум,0.0,0.0,0.0,0.0,5442.0,0.0,14222.2,38.3,27.6,92.3,Водии,Не
2020,Май,Хатлон,Гандум,0.0,0.0,0.0,0.0,5865.9,0.0,15180.4,38.6,30.4,67.6,Водии,Не
2020,Июн,Хатлон,Гандум,44033.5,3.92,172760.1,5698.69,0.0,105000.2,15020.8,60.0,35.8,33.5,Водии,Бале
2020,Июл,Хатлон,Гандум,44033.5,3.92,172760.1,5453.79,0.0,134528.2,16940.7,60.0,40.1,34.1,Водии,Бале
2020,Август,Хатлон,Гандум,0.0,0.0,0.0,0.0,6125.0,0.0,15530.6,39.4,38.1,22.4,Водии,Не
2020,Сентябр,Хатлон,Гандум,0.0,0.0,0.0,0.0,4677.5,0.0,12481.7,37.5,34.6,38.1,Водии,Не
2020,Октябр,Хатлон,Гандум,0.0,0.0,0.0,0.0,3999.3,0.0,11801.8,33.9,23.2,53.2,Водии,Не
2020,Ноябр,Хатлон,Гандум,0.0,0.0,0.0,0.0,4840.6,0.0,11442.8,42.3,21.4,44.8,Водии,Не
2020,Декабр,Хатлон,Гандум,0.0,0.0,0.0,0.0,3167.3,0.0,10335.3,30.6,14.8,37.4,Водии,Не
2020,Январ,Хатлон,Картошка,0.0,0.0,0.0,0.0,1612.2,0.0,4180.4,38.6,11.8,36.0,Водии,Не
